Iteration Times, 388, Error, 0.588261, MSE, 0.248826
Iteration Times, 389, Error, 0.582817, MSE, 0.248561
Iteration Times, 390, Error, 0.577784, MSE, 0.248294
Iteration Times, 391, Error, 0.576387, MSE, 0.248028
Iteration Times, 392, Error, 0.569366, MSE, 0.247758
Iteration Times, 393, Error, 0.560310, MSE, 0.247484
Iteration Times, 394, Error, 0.561746, MSE, 0.247212
Iteration Times, 395, Error, 0.566956, MSE, 0.246945
Iteration Times, 396, Error, 0.551667, MSE, 0.246670
Iteration Times, 397, Error, 0.546885, MSE, 0.246393
Iteration Times, 398, Error, 0.546348, MSE, 0.246117
Iteration Times, 399, Error, 0.550008, MSE, 0.245845
Iteration Times, 400, Error, 0.536469, MSE, 0.245566
Iteration Times, 401, Error, 0.528748, MSE, 0.245283
Iteration Times, 402, Error, 0.535078, MSE, 0.245005
Iteration Times, 403, Error, 0.521092, MSE, 0.244721
Iteration Times, 404, Error, 0.524947, MSE, 0.244440
Iteration Times, 405, Error, 0.518774, MSE, 0.244157
Iteration Times, 406, Error, 0.513561, MSE, 0.243871
Iteration Times, 407, Error, 0.507810, MSE, 0.243584
Iteration Times, 408, Error, 0.506874, MSE, 0.243298
Iteration Times, 409, Error, 0.501318, MSE, 0.243009
Iteration Times, 410, Error, 0.489854, MSE, 0.242715
Iteration Times, 411, Error, 0.498268, MSE, 0.242428
Iteration Times, 412, Error, 0.481900, MSE, 0.242132
Iteration Times, 413, Error, 0.485164, MSE, 0.241839
Iteration Times, 414, Error, 0.478586, MSE, 0.241544
Iteration Times, 415, Error, 0.473240, MSE, 0.241247
Iteration Times, 416, Error, 0.467532, MSE, 0.240948
Iteration Times, 417, Error, 0.464647, MSE, 0.240649
Iteration Times, 418, Error, 0.459744, MSE, 0.240348
Iteration Times, 419, Error, 0.448385, MSE, 0.240042
Iteration Times, 420, Error, 0.454664, MSE, 0.239741
Iteration Times, 421, Error, 0.439688, MSE, 0.239433
Iteration Times, 422, Error, 0.440521, MSE, 0.239126
Iteration Times, 423, Error, 0.435054, MSE, 0.238818
Iteration Times, 424, Error, 0.425773, MSE, 0.238506
Iteration Times, 425, Error, 0.422484, MSE, 0.238193
Iteration Times, 426, Error, 0.421799, MSE, 0.237882
Iteration Times, 427, Error, 0.415568, MSE, 0.237568
Iteration Times, 428, Error, 0.403457, MSE, 0.237249
Iteration Times, 429, Error, 0.407973, MSE, 0.236933
Iteration Times, 430, Error, 0.393912, MSE, 0.236611
Iteration Times, 431, Error, 0.390213, MSE, 0.236289
Iteration Times, 432, Error, 0.389975, MSE, 0.235967
Iteration Times, 433, Error, 0.380146, MSE, 0.235642
Iteration Times, 434, Error, 0.378036, MSE, 0.235317
Iteration Times, 435, Error, 0.370491, MSE, 0.234989
Iteration Times, 436, Error, 0.365226, MSE, 0.234659
Iteration Times, 437, Error, 0.359584, MSE, 0.234328
Iteration Times, 438, Error, 0.354666, MSE, 0.233995
Iteration Times, 439, Error, 0.349298, MSE, 0.233661
Iteration Times, 440, Error, 0.340828, MSE, 0.233324
Iteration Times, 441, Error, 0.339616, MSE, 0.232987
Iteration Times, 442, Error, 0.331668, MSE, 0.232648
Iteration Times, 443, Error, 0.329055, MSE, 0.232308
Iteration Times, 444, Error, 0.320945, MSE, 0.231966
Iteration Times, 445, Error, 0.310203, MSE, 0.231619
Iteration Times, 446, Error, 0.312217, MSE, 0.231274
Iteration Times, 447, Error, 0.313376, MSE, 0.230932
Iteration Times, 448, Error, 0.298267, MSE, 0.230583
Iteration Times, 449, Error, 0.292943, MSE, 0.230233
Iteration Times, 450, Error, 0.289599, MSE, 0.229882
Iteration Times, 451, Error, 0.283174, MSE, 0.229529
Iteration Times, 452, Error, 0.281457, MSE, 0.229177
Iteration Times, 453, Error, 0.273521, MSE, 0.228822
Iteration Times, 454, Error, 0.265563, MSE, 0.228464
Iteration Times, 455, Error, 0.265394, MSE, 0.228108
Iteration Times, 456, Error, 0.263686, MSE, 0.227752
Iteration Times, 457, Error, 0.253521, MSE, 0.227393
Iteration Times, 458, Error, 0.244123, MSE, 0.227030
Iteration Times, 459, Error, 0.246281, MSE, 0.226669
Iteration Times, 460, Error, 0.243003, MSE, 0.226308
Iteration Times, 461, Error, 0.232916, MSE, 0.225944
Iteration Times, 462, Error, 0.228461, MSE, 0.225578
Iteration Times, 463, Error, 0.228940, MSE, 0.225215
Iteration Times, 464, Error, 0.217093, MSE, 0.224846
Iteration Times, 465, Error, 0.219535, MSE, 0.224481
Iteration Times, 466, Error, 0.214415, MSE, 0.224114
Iteration Times, 467, Error, 0.208072, MSE, 0.223746
Iteration Times, 468, Error, 0.202810, MSE, 0.223376
Iteration Times, 469, Error, 0.202119, MSE, 0.223007
Iteration Times, 470, Error, 0.197376, MSE, 0.222638
Iteration Times, 471, Error, 0.194319, MSE, 0.222268
Iteration Times, 472, Error, 0.185190, MSE, 0.221895
Iteration Times, 473, Error, 0.185986, MSE, 0.221525
Iteration Times, 474, Error, 0.182071, MSE, 0.221153
Iteration Times, 475, Error, 0.179243, MSE, 0.220782
Iteration Times, 476, Error, 0.171887, MSE, 0.220409
Iteration Times, 477, Error, 0.172112, MSE, 0.220037
Iteration Times, 478, Error, 0.166007, MSE, 0.219663
Iteration Times, 479, Error, 0.165319, MSE, 0.219291
Iteration Times, 480, Error, 0.158757, MSE, 0.218917
Iteration Times, 481, Error, 0.157996, MSE, 0.218544
Iteration Times, 482, Error, 0.154179, MSE, 0.218170
